com.samsung.shealth.tracker.pedometer_step_count,2,,,,,,,,,
duration,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.end_time
60000,0,115,51:00.0,52:12.5,52:12.5,115,1.4368333,86.21,4.58,52:00.0
60000,0,108,52:00.0,53:00.0,52:12.6,108,1.3414997,80.48998,4.319997,53:00.0
60000,0,112,53:00.0,53:59.8,53:00.6,112,1.397,83.81999,4.479997,54:00.0
60000,0,116,54:00.0,54:59.9,54:00.3,116,1.4505006,87.03004,4.639997,55:00.0
60000,0,112,55:00.0,55:59.6,55:00.4,112,1.3986667,83.92,4.479997,56:00.0
60000,0,113,56:00.0,56:59.8,56:00.2,113,1.4041672,84.25003,4.519997,57:00.0
60000,0,109,57:00.0,57:59.7,57:00.4,109,1.3463335,80.780014,4.3599973,58:00.0
60000,0,111,58:00.0,58:59.7,58:00.3,111,1.3748332,82.48999,4.439997,59:00.0
60000,0,112,59:00.0,00:13.9,59:00.3,112,1.3915001,83.490005,4.4799986,00:00.0
60000,0,116,00:00.0,00:59.6,00:14.0,116,1.4500003,87.00002,4.6399965,01:00.0
60000,0,109,01:00.0,01:59.7,01:00.2,109,1.3511673,81.07003,4.3599973,02:00.0
60000,0,111,02:00.0,02:59.9,02:00.3,111,1.3863335,83.18001,4.4299974,03:00.0
60000,0,112,03:00.0,04:15.2,03:00.4,112,1.3968337,83.81002,4.479998,04:00.0
60000,0,108,04:00.0,04:59.4,04:15.3,108,1.3393334,80.36,4.319997,05:00.0
60000,0,108,05:00.0,05:59.6,05:00.1,108,1.3268331,79.609985,4.3199973,06:00.0
60000,0,110,06:00.0,15:05.4,06:00.3,110,1.3578334,81.47,4.3999977,07:00.0
17272,0,31,07:00.0,15:05.5,15:05.5,31,1.3333334,23.03,1.23,08:00.0
11168,0,19,10:00.0,15:05.6,15:05.6,19,1.25,13.96,0.73,11:00.0
8925,0,17,13:00.0,15:05.6,15:05.6,17,1.4722222,13.14,0.66,14:00.0
21335,0,39,14:00.0,15:05.7,15:05.7,39,1.3611112,29.04,1.54,15:00.0
15044,0,27,30:00.0,30:54.3,30:18.6,27,1.3427045,20.199999,0.9900001,31:00.0
9210,0,16,31:00.0,31:22.8,31:20.5,16,1.2724937,11.719999,0.56,32:00.0
